blfs-sudo	chroot	51.0	6
blfs-sudo	chroot	50.7	0
blfs-iptables	chroot	12.0	0
blfs-cmake	chroot	943.1	0
blfs-brotli	chroot	17.7	0
blfs-highway	chroot	227.4	0
blfs-graphite2	chroot	12.7	0
blfs-giflib	chroot	1.9	0
blfs-libpng	chroot	12.6	0
blfs-lcms2	chroot	10.9	0
blfs-libjxl	chroot	294.4	0
blfs-libwebp	chroot	27.9	0
blfs-pixman	chroot	21.5	0
blfs-freetype2	chroot	17.1	0
blfs-glib2	chroot	0.4	2
blfs-glib2	chroot	141.9	1
blfs-glib2	chroot	182.5	0
blfs-icu	chroot	174.4	0
blfs-harfbuzz	chroot	252.5	0
blfs-fontconfig	chroot	27.6	0
blfs-hwdata	chroot	0.3	0
blfs-nettle	chroot	19.4	0
blfs-libtirpc	chroot	7.7	0
blfs-util-macros	chroot	1.4	0
blfs-xorgproto	chroot	0.4	1
blfs-xorg-env	chroot	0.2	0
blfs-xorgproto	chroot	1.5	0
blfs-libXau	chroot	5.2	0
blfs-libXdmcp	chroot	5.5	0
blfs-xcb-proto	chroot	1.7	0
blfs-libxcb	chroot	19.9	0
blfs-libxcvt	chroot	1.6	0
blfs-xcb-util	chroot	4.9	0
blfs-libxml2	chroot	21.9	0
blfs-xkeyboard-config	chroot	2.5	0
blfs-libxkbcommon	chroot	2.4	1
blfs-libxkbcommon	chroot	33.7	0
blfs-spirv-headers	chroot	1.0	0
blfs-spirv-tools	chroot	397.4	0
blfs-glslang	chroot	110.4	0
blfs-vulkan-headers	chroot	0.9	0
blfs-vulkan-loader	chroot	0.3	1
blfs-xtrans	chroot	3.3	0
blfs-libx11	chroot	42.9	0
blfs-libxext	chroot	6.3	0
blfs-libxrender	chroot	5.7	0
blfs-libxrandr	chroot	5.5	0
blfs-libxshmfence	chroot	5.1	0
blfs-libxxf86vm	chroot	5.2	0
blfs-vulkan-loader	chroot	10.7	0
blfs-libdrm	chroot	7.0	0
blfs-mesa	chroot	6.1	1
glfs-libglvnd	chroot	8.4	0
blfs-mesa	chroot	6.0	1
blfs-libssh2	chroot	12.0	0
blfs-rust	chroot	9086.5	0
blfs-mesa	chroot	13.5	1
blfs-llvm	chroot	15103.5	0
blfs-rust-bindgen	chroot	263.5	101
blfs-rust-bindgen	chroot	182.4	0
blfs-cbindgen	chroot	202.0	0
blfs-mesa	chroot	11.3	1
blfs-mako	chroot	3.8	0
blfs-pyyaml	chroot	3.9	0
blfs-mesa	chroot	28.9	1
blfs-spirv-llvm-translator	chroot	305.5	0
blfs-libclc	chroot	459.7	0
blfs-mesa	chroot	62.2	1
